district,y,m,rainfall
Adan Yabaal,2013,1,2.93
Afgooye,2013,1,1.53
Afmadow,2013,1,2.26
Baardheere,2013,1,1.95
Badhaadhe,2013,1,3.85
Baki,2013,1,6.18
Balcad,2013,1,1.77
Banadir,2013,1,0.73
Bandarbeyla,2013,1,1.17
Baraawe,2013,1,0.49
Baydhaba,2013,1,1.72
Belet Weyne,2013,1,1.02
Belet Xaawo,2013,1,1.63
Berbera,2013,1,4.42
Borama,2013,1,5.15
Bossaso,2013,1,0.44
Bu'aale,2013,1,1.24
Bulo Burto,2013,1,2.16
Burco,2013,1,2.2
Burtinle,2013,1,1.13
Buuhoodle,2013,1,0.98
Buur Hakaba,2013,1,1.03
Cabudwaaq,2013,1,1.2
Cadaado,2013,1,2.14
Cadale,2013,1,2.32
Caluula,2013,1,1.61
Caynabo,2013,1,2.15
Ceel Afweyn,2013,1,3.21
Ceel Barde,2013,1,0.73
Ceel Buur,2013,1,3.58
Ceel Dheer,2013,1,3.79
Ceel Waaq,2013,1,2.14
Ceerigaabo,2013,1,2.83
Dhuusamarreeb,2013,1,2.4
Diinsoor,2013,1,1.15
Doolow,2013,1,1.16
Eyl,2013,1,2.41
Gaalkacyo,2013,1,0.51
Galdogob,2013,1,0.27
Garbahaarey,2013,1,2
Garoowe,2013,1,1.74
Gebiley,2013,1,2.13
Hargeysa,2013,1,2.41
Hobyo,2013,1,0.93
Iskushuban,2013,1,0.58
Jalalaqsi,2013,1,2.71
Jamaame,2013,1,1.19
Jariiban,2013,1,1.01
Jilib,2013,1,1.43
Jowhar,2013,1,2.31
Kismaayo,2013,1,2
Kurtunwaarey,2013,1,0.92
Laas Caanood,2013,1,1.05
Laasqoray,2013,1,0.35
Lughaye,2013,1,7.94
Luuq,2013,1,1.02
Marka,2013,1,1.13
Owdweyne,2013,1,2.84
Qandala,2013,1,0.53
Qansax Dheere,2013,1,1.61
Qardho,2013,1,0.2
Qoryooley,2013,1,1.17
Rab Dhuure,2013,1,0.4
Saakow,2013,1,1.04
Sablaale,2013,1,0.89
Sheikh,2013,1,3.19
Taleex,2013,1,0.66
Tayeeglow,2013,1,0.69
Waajid,2013,1,0.68
Wanla Weyn,2013,1,1.86
Xarardheere,2013,1,3.25
Xudun,2013,1,1.52
Xudur,2013,1,0.47
Zeylac,2013,1,8.34
Adan Yabaal,2013,2,1.21
Afgooye,2013,2,0.88
Afmadow,2013,2,4.96
Baardheere,2013,2,2.85
Badhaadhe,2013,2,2.85
Baki,2013,2,2.96
Balcad,2013,2,1.02
Banadir,2013,2,1.21
Bandarbeyla,2013,2,0.35
Baraawe,2013,2,0.42
Baydhaba,2013,2,1.06
Belet Weyne,2013,2,0.84
Belet Xaawo,2013,2,1.97
Berbera,2013,2,1.04
Borama,2013,2,4.23
Bossaso,2013,2,0.82
Bu'aale,2013,2,1.99
Bulo Burto,2013,2,0.96
Burco,2013,2,2.58
Burtinle,2013,2,0.69
Buuhoodle,2013,2,1.34
Buur Hakaba,2013,2,1.19
Cabudwaaq,2013,2,1.91
Cadaado,2013,2,0.69
Cadale,2013,2,1.4
Caluula,2013,2,0.32
Caynabo,2013,2,1.48
Ceel Afweyn,2013,2,1.83
Ceel Barde,2013,2,1.01
Ceel Buur,2013,2,1.09
Ceel Dheer,2013,2,1.23
Ceel Waaq,2013,2,2.54
Ceerigaabo,2013,2,2.31
Dhuusamarreeb,2013,2,0.97
Diinsoor,2013,2,1.45
Doolow,2013,2,1.58
Eyl,2013,2,0.29
Gaalkacyo,2013,2,0.52
Galdogob,2013,2,0.5
Garbahaarey,2013,2,1.29
Garoowe,2013,2,0.46
Gebiley,2013,2,2.72
Hargeysa,2013,2,3.13
Hobyo,2013,2,0.71
Iskushuban,2013,2,0.26
Jalalaqsi,2013,2,1.4
Jamaame,2013,2,2.05
Jariiban,2013,2,0.55
Jilib,2013,2,1.87
Jowhar,2013,2,1.5
Kismaayo,2013,2,2.56
Kurtunwaarey,2013,2,0.74
Laas Caanood,2013,2,0.64
Laasqoray,2013,2,1.22
Lughaye,2013,2,3.35
Luuq,2013,2,0.89
Marka,2013,2,0.3
Owdweyne,2013,2,3.9
Qandala,2013,2,0.85
Qansax Dheere,2013,2,1.43
Qardho,2013,2,0.61
Qoryooley,2013,2,0.59
Rab Dhuure,2013,2,0.81
Saakow,2013,2,2.43
Sablaale,2013,2,0.95
Sheikh,2013,2,4.06
Taleex,2013,2,0.74
Tayeeglow,2013,2,0.57
Waajid,2013,2,0.86
Wanla Weyn,2013,2,1.31
Xarardheere,2013,2,1.73
Xudun,2013,2,0.53
Xudur,2013,2,0.54
Zeylac,2013,2,4.83
Adan Yabaal,2013,3,49.96
Afgooye,2013,3,24.81
Afmadow,2013,3,73.17
Baardheere,2013,3,108
Badhaadhe,2013,3,64.16
Baki,2013,3,21.86
Balcad,2013,3,34.5
Banadir,2013,3,17.36
Bandarbeyla,2013,3,6.59
Baraawe,2013,3,15.22
Baydhaba,2013,3,104
Belet Weyne,2013,3,39.04
Belet Xaawo,2013,3,98.9
Berbera,2013,3,13.57
Borama,2013,3,47.04
Bossaso,2013,3,9.81
Bu'aale,2013,3,56.05
Bulo Burto,2013,3,39.74
Burco,2013,3,22.6
Burtinle,2013,3,9.83
Buuhoodle,2013,3,18.59
Buur Hakaba,2013,3,53.9
Cabudwaaq,2013,3,22.66
Cadaado,2013,3,15.12
Cadale,2013,3,43.56
Caluula,2013,3,3.3
Caynabo,2013,3,11.08
Ceel Afweyn,2013,3,12.64
Ceel Barde,2013,3,75.41
Ceel Buur,2013,3,33.79
Ceel Dheer,2013,3,40.36
Ceel Waaq,2013,3,119
Ceerigaabo,2013,3,31.06
Dhuusamarreeb,2013,3,28.54
Diinsoor,2013,3,81
Doolow,2013,3,62.82
Eyl,2013,3,11.15
Gaalkacyo,2013,3,10.25
Galdogob,2013,3,14.73
Garbahaarey,2013,3,89.72
Garoowe,2013,3,8.7
Gebiley,2013,3,36.69
Hargeysa,2013,3,34.07
Hobyo,2013,3,21.49
Iskushuban,2013,3,6.73
Jalalaqsi,2013,3,40.55
Jamaame,2013,3,21.96
Jariiban,2013,3,16.55
Jilib,2013,3,29.77
Jowhar,2013,3,46.84
Kismaayo,2013,3,43.69
Kurtunwaarey,2013,3,31.33
Laas Caanood,2013,3,8.46
Laasqoray,2013,3,20.52
Lughaye,2013,3,15.6
Luuq,2013,3,86.97
Marka,2013,3,15.16
Owdweyne,2013,3,31.23
Qandala,2013,3,13.11
Qansax Dheere,2013,3,99.16
Qardho,2013,3,14.79
Qoryooley,2013,3,25.61
Rab Dhuure,2013,3,99.91
Saakow,2013,3,87.98
Sablaale,2013,3,35.41
Sheikh,2013,3,35.06
Taleex,2013,3,11.86
Tayeeglow,2013,3,72.03
Waajid,2013,3,110
Wanla Weyn,2013,3,37.83
Xarardheere,2013,3,35.24
Xudun,2013,3,4.85
Xudur,2013,3,65.18
Zeylac,2013,3,26.09
Adan Yabaal,2013,4,96.92
Afgooye,2013,4,137
Afmadow,2013,4,213
Baardheere,2013,4,208
Badhaadhe,2013,4,155
Baki,2013,4,39.74
Balcad,2013,4,112
Banadir,2013,4,76.69
Bandarbeyla,2013,4,26.39
Baraawe,2013,4,132
Baydhaba,2013,4,237
Belet Weyne,2013,4,119
Belet Xaawo,2013,4,192
Berbera,2013,4,63.33
Borama,2013,4,60.62
Bossaso,2013,4,36.52
Bu'aale,2013,4,246
Bulo Burto,2013,4,127
Burco,2013,4,66.85
Burtinle,2013,4,24.21
Buuhoodle,2013,4,52.56
Buur Hakaba,2013,4,240
Cabudwaaq,2013,4,105
Cadaado,2013,4,101
Cadale,2013,4,95.69
Caluula,2013,4,12.89
Caynabo,2013,4,73.34
Ceel Afweyn,2013,4,42.27
Ceel Barde,2013,4,182
Ceel Buur,2013,4,87.8
Ceel Dheer,2013,4,81.52
Ceel Waaq,2013,4,212
Ceerigaabo,2013,4,26.56
Dhuusamarreeb,2013,4,99.97
Diinsoor,2013,4,213
Doolow,2013,4,142
Eyl,2013,4,27.16
Gaalkacyo,2013,4,58.66
Galdogob,2013,4,66.14
Garbahaarey,2013,4,184
Garoowe,2013,4,21.57
Gebiley,2013,4,63.46
Hargeysa,2013,4,71.08
Hobyo,2013,4,64.32
Iskushuban,2013,4,24.65
Jalalaqsi,2013,4,134
Jamaame,2013,4,131
Jariiban,2013,4,35.1
Jilib,2013,4,207
Jowhar,2013,4,134
Kismaayo,2013,4,135
Kurtunwaarey,2013,4,212
Laas Caanood,2013,4,18.41
Laasqoray,2013,4,31.38
Lughaye,2013,4,16.43
Luuq,2013,4,175
Marka,2013,4,89.34
Owdweyne,2013,4,60.46
Qandala,2013,4,48.39
Qansax Dheere,2013,4,211
Qardho,2013,4,28.09
Qoryooley,2013,4,186
Rab Dhuure,2013,4,232
Saakow,2013,4,240
Sablaale,2013,4,249
Sheikh,2013,4,106
Taleex,2013,4,20.63
Tayeeglow,2013,4,158
Waajid,2013,4,241
Wanla Weyn,2013,4,166
Xarardheere,2013,4,64.13
Xudun,2013,4,26.52
Xudur,2013,4,191
Zeylac,2013,4,14.99
Adan Yabaal,2013,5,12.73
Afgooye,2013,5,51.29
Afmadow,2013,5,112
Baardheere,2013,5,30.56
Badhaadhe,2013,5,198
Baki,2013,5,30.01
Balcad,2013,5,45.02
Banadir,2013,5,68.94
Bandarbeyla,2013,5,16.71
Baraawe,2013,5,99.4
Baydhaba,2013,5,38.13
Belet Weyne,2013,5,20.36
Belet Xaawo,2013,5,21.16
Berbera,2013,5,32.33
Borama,2013,5,42.22
Bossaso,2013,5,14.39
Bu'aale,2013,5,119
Bulo Burto,2013,5,19.52
Burco,2013,5,56.49
Burtinle,2013,5,46.23
Buuhoodle,2013,5,36.64
Buur Hakaba,2013,5,51.81
Cabudwaaq,2013,5,47.64
Cadaado,2013,5,49.42
Cadale,2013,5,24.2
Caluula,2013,5,4.12
Caynabo,2013,5,54.59
Ceel Afweyn,2013,5,55.68
Ceel Barde,2013,5,19.35
Ceel Buur,2013,5,21.93
Ceel Dheer,2013,5,28.56
Ceel Waaq,2013,5,20.22
Ceerigaabo,2013,5,38.2
Dhuusamarreeb,2013,5,33.57
Diinsoor,2013,5,54.52
Doolow,2013,5,17.05
Eyl,2013,5,28.3
Gaalkacyo,2013,5,50.34
Galdogob,2013,5,59.19
Garbahaarey,2013,5,24.49
Garoowe,2013,5,28.68
Gebiley,2013,5,59.86
Hargeysa,2013,5,48.77
Hobyo,2013,5,30.01
Iskushuban,2013,5,6.75
Jalalaqsi,2013,5,17.94
Jamaame,2013,5,170
Jariiban,2013,5,33.44
Jilib,2013,5,172
Jowhar,2013,5,24.68
Kismaayo,2013,5,181
Kurtunwaarey,2013,5,81.99
Laas Caanood,2013,5,26.4
Laasqoray,2013,5,24.7
Lughaye,2013,5,11.59
Luuq,2013,5,23.19
Marka,2013,5,41.07
Owdweyne,2013,5,52.22
Qandala,2013,5,10.96
Qansax Dheere,2013,5,29.06
Qardho,2013,5,25.8
Qoryooley,2013,5,57.93
Rab Dhuure,2013,5,24.35
Saakow,2013,5,52.86
Sablaale,2013,5,116
Sheikh,2013,5,40.34
Taleex,2013,5,18.89
Tayeeglow,2013,5,25.79
Waajid,2013,5,29.2
Wanla Weyn,2013,5,29.83
Xarardheere,2013,5,24.11
Xudun,2013,5,38.24
Xudur,2013,5,26.2
Zeylac,2013,5,13.14
Adan Yabaal,2013,6,6.01
Afgooye,2013,6,20.03
Afmadow,2013,6,28.75
Baardheere,2013,6,8.51
Badhaadhe,2013,6,33.93
Baki,2013,6,1.98
Balcad,2013,6,17.25
Banadir,2013,6,17.84
Bandarbeyla,2013,6,1.06
Baraawe,2013,6,39.11
Baydhaba,2013,6,10.44
Belet Weyne,2013,6,2.31
Belet Xaawo,2013,6,3.27
Berbera,2013,6,1.62
Borama,2013,6,5.57
Bossaso,2013,6,4.34
Bu'aale,2013,6,39.19
Bulo Burto,2013,6,3.14
Burco,2013,6,6.91
Burtinle,2013,6,1.51
Buuhoodle,2013,6,3.32
Buur Hakaba,2013,6,18.99
Cabudwaaq,2013,6,1.54
Cadaado,2013,6,1.86
Cadale,2013,6,13.14
Caluula,2013,6,1.2
Caynabo,2013,6,6.61
Ceel Afweyn,2013,6,7.5
Ceel Barde,2013,6,1.19
Ceel Buur,2013,6,1.4
Ceel Dheer,2013,6,5.91
Ceel Waaq,2013,6,5.78
Ceerigaabo,2013,6,10.54
Dhuusamarreeb,2013,6,1.13
Diinsoor,2013,6,17.44
Doolow,2013,6,1.09
Eyl,2013,6,1.27
Gaalkacyo,2013,6,2.04
Galdogob,2013,6,1.63
Garbahaarey,2013,6,4.17
Garoowe,2013,6,1.07
Gebiley,2013,6,7.24
Hargeysa,2013,6,8.75
Hobyo,2013,6,1.59
Iskushuban,2013,6,1.34
Jalalaqsi,2013,6,5.47
Jamaame,2013,6,56.59
Jariiban,2013,6,1.83
Jilib,2013,6,47.35
Jowhar,2013,6,7.82
Kismaayo,2013,6,45.82
Kurtunwaarey,2013,6,28.96
Laas Caanood,2013,6,0.95
Laasqoray,2013,6,5.16
Lughaye,2013,6,0.39
Luuq,2013,6,3.3
Marka,2013,6,22.98
Owdweyne,2013,6,8.52
Qandala,2013,6,3.79
Qansax Dheere,2013,6,7.97
Qardho,2013,6,2.07
Qoryooley,2013,6,24.54
Rab Dhuure,2013,6,1.14
Saakow,2013,6,19.3
Sablaale,2013,6,38.4
Sheikh,2013,6,6.59
Taleex,2013,6,3.17
Tayeeglow,2013,6,4.47
Waajid,2013,6,5.83
Wanla Weyn,2013,6,12.87
Xarardheere,2013,6,3.53
Xudun,2013,6,2.58
Xudur,2013,6,1.31
Zeylac,2013,6,1.12
Adan Yabaal,2013,7,31.13
Afgooye,2013,7,33.15
Afmadow,2013,7,28.81
Baardheere,2013,7,16.32
Badhaadhe,2013,7,37.19
Baki,2013,7,25.89
Balcad,2013,7,36.34
Banadir,2013,7,56.84
Bandarbeyla,2013,7,0.15
Baraawe,2013,7,41.98
Baydhaba,2013,7,26.73
Belet Weyne,2013,7,8.86
Belet Xaawo,2013,7,6.6
Berbera,2013,7,4.22
Borama,2013,7,69.33
Bossaso,2013,7,0.84
Bu'aale,2013,7,37.96
Bulo Burto,2013,7,17.76
Burco,2013,7,7.41
Burtinle,2013,7,0.11
Buuhoodle,2013,7,3.13
Buur Hakaba,2013,7,27.71
Cabudwaaq,2013,7,3.38
Cadaado,2013,7,1.62
Cadale,2013,7,41.25
Caluula,2013,7,0.3
Caynabo,2013,7,4.77
Ceel Afweyn,2013,7,4.26
Ceel Barde,2013,7,13.71
Ceel Buur,2013,7,7.96
Ceel Dheer,2013,7,24.79
Ceel Waaq,2013,7,11.17
Ceerigaabo,2013,7,2.96
Dhuusamarreeb,2013,7,4.49
Diinsoor,2013,7,22.75
Doolow,2013,7,0.27
Eyl,2013,7,0.05
Gaalkacyo,2013,7,0.56
Galdogob,2013,7,0.37
Garbahaarey,2013,7,7.9
Garoowe,2013,7,0.09
Gebiley,2013,7,56.29
Hargeysa,2013,7,24.57
Hobyo,2013,7,2.98
Iskushuban,2013,7,0.31
Jalalaqsi,2013,7,18.88
Jamaame,2013,7,41.64
Jariiban,2013,7,0.62
Jilib,2013,7,52.33
Jowhar,2013,7,22.1
Kismaayo,2013,7,50.65
Kurtunwaarey,2013,7,38.74
Laas Caanood,2013,7,0.19
Laasqoray,2013,7,1.6
Lughaye,2013,7,7.73
Luuq,2013,7,3.19
Marka,2013,7,38.37
Owdweyne,2013,7,11.18
Qandala,2013,7,1.05
Qansax Dheere,2013,7,15.38
Qardho,2013,7,0.56
Qoryooley,2013,7,35.51
Rab Dhuure,2013,7,1.74
Saakow,2013,7,24.45
Sablaale,2013,7,41.37
Sheikh,2013,7,12.47
Taleex,2013,7,0.71
Tayeeglow,2013,7,37.79
Waajid,2013,7,15.88
Wanla Weyn,2013,7,18.85
Xarardheere,2013,7,20.41
Xudun,2013,7,1.34
Xudur,2013,7,13.82
Zeylac,2013,7,22.86
Adan Yabaal,2013,8,14.03
Afgooye,2013,8,10.93
Afmadow,2013,8,15.58
Baardheere,2013,8,7.14
Badhaadhe,2013,8,22.82
Baki,2013,8,26.44
Balcad,2013,8,14.27
Banadir,2013,8,24.65
Bandarbeyla,2013,8,2.57
Baraawe,2013,8,31.84
Baydhaba,2013,8,14.23
Belet Weyne,2013,8,5.86
Belet Xaawo,2013,8,5.17
Berbera,2013,8,4.26
Borama,2013,8,88.22
Bossaso,2013,8,6.11
Bu'aale,2013,8,15.14
Bulo Burto,2013,8,7.09
Burco,2013,8,3.92
Burtinle,2013,8,0.88
Buuhoodle,2013,8,0.51
Buur Hakaba,2013,8,14.29
Cabudwaaq,2013,8,3.21
Cadaado,2013,8,1.85
Cadale,2013,8,15.09
Caluula,2013,8,4.09
Caynabo,2013,8,1.25
Ceel Afweyn,2013,8,2.37
Ceel Barde,2013,8,10.99
Ceel Buur,2013,8,2.03
Ceel Dheer,2013,8,12.34
Ceel Waaq,2013,8,7.75
Ceerigaabo,2013,8,8.19
Dhuusamarreeb,2013,8,1.71
Diinsoor,2013,8,10.28
Doolow,2013,8,0.21
Eyl,2013,8,0.49
Gaalkacyo,2013,8,0.63
Galdogob,2013,8,0.37
Garbahaarey,2013,8,6.24
Garoowe,2013,8,0.98
Gebiley,2013,8,53.63
Hargeysa,2013,8,27.92
Hobyo,2013,8,1.65
Iskushuban,2013,8,3.82
Jalalaqsi,2013,8,4.47
Jamaame,2013,8,30.98
Jariiban,2013,8,0.11
Jilib,2013,8,29.12
Jowhar,2013,8,3.97
Kismaayo,2013,8,24.95
Kurtunwaarey,2013,8,21.62
Laas Caanood,2013,8,0.5
Laasqoray,2013,8,5.75
Lughaye,2013,8,2.07
Luuq,2013,8,2.28
Marka,2013,8,27.15
Owdweyne,2013,8,14.59
Qandala,2013,8,8.5
Qansax Dheere,2013,8,9.26
Qardho,2013,8,2.97
Qoryooley,2013,8,19.77
Rab Dhuure,2013,8,2.48
Saakow,2013,8,7.3
Sablaale,2013,8,15.7
Sheikh,2013,8,30.34
Taleex,2013,8,1.75
Tayeeglow,2013,8,14.44
Waajid,2013,8,8.05
Wanla Weyn,2013,8,5.07
Xarardheere,2013,8,10.54
Xudun,2013,8,0.77
Xudur,2013,8,8.57
Zeylac,2013,8,16.4
Adan Yabaal,2013,9,2.92
Afgooye,2013,9,10.94
Afmadow,2013,9,25.57
Baardheere,2013,9,13.73
Badhaadhe,2013,9,33.99
Baki,2013,9,25.68
Balcad,2013,9,8.72
Banadir,2013,9,12.58
Bandarbeyla,2013,9,7.09
Baraawe,2013,9,13.72
Baydhaba,2013,9,9.92
Belet Weyne,2013,9,8.9
Belet Xaawo,2013,9,3.86
Berbera,2013,9,11.3
Borama,2013,9,72.34
Bossaso,2013,9,20.79
Bu'aale,2013,9,21.99
Bulo Burto,2013,9,5.7
Burco,2013,9,26.75
Burtinle,2013,9,8.51
Buuhoodle,2013,9,18.02
Buur Hakaba,2013,9,11.25
Cabudwaaq,2013,9,14.01
Cadaado,2013,9,7.18
Cadale,2013,9,4.38
Caluula,2013,9,7.61
Caynabo,2013,9,21.87
Ceel Afweyn,2013,9,35.82
Ceel Barde,2013,9,8.98
Ceel Buur,2013,9,5.26
Ceel Dheer,2013,9,2.81
Ceel Waaq,2013,9,9.86
Ceerigaabo,2013,9,49.11
Dhuusamarreeb,2013,9,6.23
Diinsoor,2013,9,14.61
Doolow,2013,9,5.19
Eyl,2013,9,7.24
Gaalkacyo,2013,9,8.72
Galdogob,2013,9,9.93
Garbahaarey,2013,9,8.56
Garoowe,2013,9,8.14
Gebiley,2013,9,47.32
Hargeysa,2013,9,43.98
Hobyo,2013,9,6.3
Iskushuban,2013,9,6.66
Jalalaqsi,2013,9,3.65
Jamaame,2013,9,25.67
Jariiban,2013,9,7.58
Jilib,2013,9,20.71
Jowhar,2013,9,5.08
Kismaayo,2013,9,31.78
Kurtunwaarey,2013,9,15.25
Laas Caanood,2013,9,11.97
Laasqoray,2013,9,24.79
Lughaye,2013,9,7.48
Luuq,2013,9,5.41
Marka,2013,9,10.98
Owdweyne,2013,9,38.12
Qandala,2013,9,19.75
Qansax Dheere,2013,9,12.15
Qardho,2013,9,9.45
Qoryooley,2013,9,12.84
Rab Dhuure,2013,9,9.98
Saakow,2013,9,20.49
Sablaale,2013,9,17.31
Sheikh,2013,9,38.61
Taleex,2013,9,17.01
Tayeeglow,2013,9,9.01
Waajid,2013,9,16.4
Wanla Weyn,2013,9,7.28
Xarardheere,2013,9,2.37
Xudun,2013,9,12.79
Xudur,2013,9,20.61
Zeylac,2013,9,16.2
Adan Yabaal,2013,10,117
Afgooye,2013,10,91.55
Afmadow,2013,10,38.27
Baardheere,2013,10,42.42
Badhaadhe,2013,10,32.03
Baki,2013,10,78.34
Balcad,2013,10,92.06
Banadir,2013,10,58.3
Bandarbeyla,2013,10,53.22
Baraawe,2013,10,37.34
Baydhaba,2013,10,116
Belet Weyne,2013,10,131
Belet Xaawo,2013,10,41.6
Berbera,2013,10,161
Borama,2013,10,58.04
Bossaso,2013,10,30.66
Bu'aale,2013,10,45.92
Bulo Burto,2013,10,135
Burco,2013,10,82.94
Burtinle,2013,10,96.67
Buuhoodle,2013,10,120
Buur Hakaba,2013,10,116
Cabudwaaq,2013,10,131
Cadaado,2013,10,104
Cadale,2013,10,99.19
Caluula,2013,10,12.36
Caynabo,2013,10,68.89
Ceel Afweyn,2013,10,67.61
Ceel Barde,2013,10,110
Ceel Buur,2013,10,110
Ceel Dheer,2013,10,128
Ceel Waaq,2013,10,37.31
Ceerigaabo,2013,10,37.68
Dhuusamarreeb,2013,10,121
Diinsoor,2013,10,62.57
Doolow,2013,10,38.03
Eyl,2013,10,99.68
Gaalkacyo,2013,10,109
Galdogob,2013,10,118
Garbahaarey,2013,10,65.58
Garoowe,2013,10,96.79
Gebiley,2013,10,63.01
Hargeysa,2013,10,75.79
Hobyo,2013,10,78.88
Iskushuban,2013,10,16.08
Jalalaqsi,2013,10,142
Jamaame,2013,10,18.01
Jariiban,2013,10,72.5
Jilib,2013,10,40.74
Jowhar,2013,10,125
Kismaayo,2013,10,29.41
Kurtunwaarey,2013,10,83.49
Laas Caanood,2013,10,71.05
Laasqoray,2013,10,29.65
Lughaye,2013,10,68.84
Luuq,2013,10,63.13
Marka,2013,10,33.99
Owdweyne,2013,10,81.28
Qandala,2013,10,41.17
Qansax Dheere,2013,10,96.19
Qardho,2013,10,45.58
Qoryooley,2013,10,87.89
Rab Dhuure,2013,10,102
Saakow,2013,10,36.87
Sablaale,2013,10,74.31
Sheikh,2013,10,123
Taleex,2013,10,49.92
Tayeeglow,2013,10,93.32
Waajid,2013,10,110
Wanla Weyn,2013,10,122
Xarardheere,2013,10,63.96
Xudun,2013,10,43.2
Xudur,2013,10,128
Zeylac,2013,10,43.16
Adan Yabaal,2013,11,86.05
Afgooye,2013,11,92.12
Afmadow,2013,11,88.84
Baardheere,2013,11,99.19
Badhaadhe,2013,11,88.1
Baki,2013,11,22.04
Balcad,2013,11,109
Banadir,2013,11,87.3
Bandarbeyla,2013,11,24.34
Baraawe,2013,11,44.11
Baydhaba,2013,11,76.83
Belet Weyne,2013,11,34.6
Belet Xaawo,2013,11,94.28
Berbera,2013,11,35.08
Borama,2013,11,16.55
Bossaso,2013,11,4.07
Bu'aale,2013,11,71.01
Bulo Burto,2013,11,60.96
Burco,2013,11,31.33
Burtinle,2013,11,14.4
Buuhoodle,2013,11,30.38
Buur Hakaba,2013,11,73.28
Cabudwaaq,2013,11,33.66
Cadaado,2013,11,25.2
Cadale,2013,11,87.22
Caluula,2013,11,26.21
Caynabo,2013,11,22.01
Ceel Afweyn,2013,11,13.62
Ceel Barde,2013,11,28.97
Ceel Buur,2013,11,33.94
Ceel Dheer,2013,11,55.17
Ceel Waaq,2013,11,91.63
Ceerigaabo,2013,11,6.56
Dhuusamarreeb,2013,11,36.09
Diinsoor,2013,11,97.7
Doolow,2013,11,99.73
Eyl,2013,11,22.58
Gaalkacyo,2013,11,19.52
Galdogob,2013,11,22.59
Garbahaarey,2013,11,87.53
Garoowe,2013,11,11.11
Gebiley,2013,11,16.35
Hargeysa,2013,11,23.01
Hobyo,2013,11,22.29
Iskushuban,2013,11,22.92
Jalalaqsi,2013,11,89.87
Jamaame,2013,11,58.56
Jariiban,2013,11,24.08
Jilib,2013,11,72.16
Jowhar,2013,11,105
Kismaayo,2013,11,66.96
Kurtunwaarey,2013,11,54.35
Laas Caanood,2013,11,8.42
Laasqoray,2013,11,5.89
Lughaye,2013,11,23.66
Luuq,2013,11,82.23
Marka,2013,11,37.76
Owdweyne,2013,11,30.38
Qandala,2013,11,6.64
Qansax Dheere,2013,11,97.11
Qardho,2013,11,8.35
Qoryooley,2013,11,53.34
Rab Dhuure,2013,11,47.16
Saakow,2013,11,80.92
Sablaale,2013,11,71.36
Sheikh,2013,11,34.97
Taleex,2013,11,8.46
Tayeeglow,2013,11,49.53
Waajid,2013,11,49.3
Wanla Weyn,2013,11,98.59
Xarardheere,2013,11,24.74
Xudun,2013,11,9.49
Xudur,2013,11,28.44
Zeylac,2013,11,21.41
Adan Yabaal,2013,12,8.48
Afgooye,2013,12,9.95
Afmadow,2013,12,29.63
Baardheere,2013,12,9.31
Badhaadhe,2013,12,41.07
Baki,2013,12,5.22
Balcad,2013,12,10.56
Banadir,2013,12,9.96
Bandarbeyla,2013,12,9.01
Baraawe,2013,12,2.98
Baydhaba,2013,12,2.87
Belet Weyne,2013,12,1.36
Belet Xaawo,2013,12,3.29
Berbera,2013,12,7.31
Borama,2013,12,4.04
Bossaso,2013,12,9.12
Bu'aale,2013,12,8.17
Bulo Burto,2013,12,2.48
Burco,2013,12,2.04
Burtinle,2013,12,0.86
Buuhoodle,2013,12,3.46
Buur Hakaba,2013,12,3.36
Cabudwaaq,2013,12,0.99
Cadaado,2013,12,0.58
Cadale,2013,12,10.74
Caluula,2013,12,16.16
Caynabo,2013,12,2.04
Ceel Afweyn,2013,12,3.38
Ceel Barde,2013,12,0.69
Ceel Buur,2013,12,3.81
Ceel Dheer,2013,12,7.67
Ceel Waaq,2013,12,7.46
Ceerigaabo,2013,12,2.6
Dhuusamarreeb,2013,12,0.74
Diinsoor,2013,12,4.47
Doolow,2013,12,1.11
Eyl,2013,12,2.02
Gaalkacyo,2013,12,1.26
Galdogob,2013,12,3.07
Garbahaarey,2013,12,4.86
Garoowe,2013,12,0.38
Gebiley,2013,12,1.96
Hargeysa,2013,12,1.46
Hobyo,2013,12,3.41
Iskushuban,2013,12,4.07
Jalalaqsi,2013,12,3.24
Jamaame,2013,12,10.4
Jariiban,2013,12,2.15
Jilib,2013,12,13.72
Jowhar,2013,12,6.02
Kismaayo,2013,12,39.16
Kurtunwaarey,2013,12,4.67
Laas Caanood,2013,12,1.92
Laasqoray,2013,12,4.51
Lughaye,2013,12,6.61
Luuq,2013,12,2.21
Marka,2013,12,6.89
Owdweyne,2013,12,2.55
Qandala,2013,12,10.09
Qansax Dheere,2013,12,5.3
Qardho,2013,12,2.08
Qoryooley,2013,12,6.13
Rab Dhuure,2013,12,1.19
Saakow,2013,12,6.9
Sablaale,2013,12,5.34
Sheikh,2013,12,8.24
Taleex,2013,12,0.33
Tayeeglow,2013,12,1.24
Waajid,2013,12,1.73
Wanla Weyn,2013,12,4.32
Xarardheere,2013,12,11
Xudun,2013,12,1.92
Xudur,2013,12,0.75
Zeylac,2013,12,7.15
Adan Yabaal,2014,1,2.92
Afgooye,2014,1,1.53
Afmadow,2014,1,1.81
Baardheere,2014,1,1.29
Badhaadhe,2014,1,2.74
Baki,2014,1,6.17
Balcad,2014,1,1.77
Banadir,2014,1,0.73
Bandarbeyla,2014,1,1.17
